Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
69.117,70.299,65.032,12.7
75.146,71.468,70.225,10.3
76.838,74.037,69.268,11.9
78.163,75.419,76.86,13.6
71.174,72.268,70.656,12.7
77.28666667,73.811,66.22555556,14.6
71.176,73.15,68.657,12.4
75.442,74.758,67.301,18.6
72.499,71.325,67.248,11.9
74.486,76.156,69.989,12.4
72.057,71.831,65.043,12.9
71.543,74.322,67.924,14.3
69.926,72.336,72.603,13.4
74.41,77.973,72.742,15
70.515,73.672,70.59,12.3
72.424,72.498,68.862,14.8
74.634,74.027,74.216,12.4
74.338,72.199,70.978,10.5
62.72,58.831,58.7,8.7
76.47111111,71.834,67.633,13.3
70.589,69.718,70.924,11.6
78.749,72.793,70.957,14.9
74.559,73.016,68.204,14.2
71.397,71.543,66.689,16.3
74.118,74.48888889,72.903,16
69.118,72.569,69.237,12.6
72.941,69.192,69.302,8.3
69.558,73.445,68.967,11.9
68.528,68.548,67.259,11.2
73.384,76.071,72.022,12
68.675,72.574,66.332,14.4
73.676,75.629,75.246,12.7
66.398,74.62,70.635,13.9
69.043,70.603,70.839,18.6
75.515,70.58,66.979,11.8
75.32777778,79.51333333,72.645,16.4
72.5,71.694,69.247,11.1
75.66,72.857,70.312,14.2
70.148,72.48,68.043,11.9
67.427,76.445,70.656,14.6
66.398,69.86,66.333,12.9
72.571,76.298,69.665,15
67.206,66.88,65.957,14.6
76.397,71.80444444,66.968,14.3
66.985,67.729,65.054,12.4
65.882,64.523,59.657,11.9
68.234,68.897,66.677,13.3
76.618,77.319,70.292,15
63.529,64.763,54.03666667,13.2
67.207,71.461,66.053,12.5
75.002,73.652,70.72,9.7
71.764,71.543,67.676,15.6
71.47,73.003,69.269,14.6
70.441,73.369,68.732,12.7
68.164,71.097,63.355,11
68.163,72.636,63.054,12.2
73.457,71.836,70.335,13.6
67.721,70.231,70.657,10.5
73.382,73.581,70.635,11.9
74.706,76.072,73.924,15.5
73.161,70.738,65.989,13.7
73.31,75.421,72.646,14.8
69.485,77.829,68.678,15
69.998,68.465,66.623,11.1
70.661,76.815,68.624,12
71.913,74.399,71.311,17
67.572,70.594,66.711,14
71.03,73.006,71.269,14.4
73.823,73.815,70.333,16.3
76.543,76.74,77.216,14.9
75.881,78.342,76.893,10.2
73.822,69.551,73.613,8.5
69.925,72.78,66.668,14.4
73.015,73.669,73.624,12.2
73.088,70.22,70.559,11.9
70.956,71.913,62.99,11.1
69.852,71.678,65.774,17.3
70.661,74.115,65.936,13.5
68.309,76.886,71.988,10.3
66.178,66.191,66.054,9.4
72.278,77.911,72.989,16.1
72.353,73.23,71.85,11.9
69.633,70.66,67.001,11.5
74.926,75.57,72.312,12.5
71.767,72.034,65.46,12.9
75.589,76.583,76.205,10
68.456,72.051,62.91444444,11.7
71.985,76.224,70.344,15.1
77.723,76.369,73.967,13.8
76.471,77.903,75.827,13.8
70.01666667,66.44,58.57888889,11.2
74.925,69.866,65.646,12.4
72.868,76.067,73.71,11.7
74.634,68.171,69.29,9.7
68.97,72.486,72.625,13.9
72.352,68.246,65.033,12.3
74.117,75.491,73.967,11.6
72.207,69.275,67.612,9.5
64.044,70.081,71.634,12.5
66.25,69.212,61.796,11.3
