Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
66.985,66.574,66.011,16.6
71.617,69.708,62.55777778,20.3
67.059,66.764,65.743,14.8
70.59,67.085,64.075,19.7
71.838,75.337,75.269,15.4
70.366,68.173,63.947,14.7
67.206,61.298,62.388,14.7
76.913,72.563,71.644,16.4
62.868,61.817,59.753,15.9
65.072,64.017,62.364,17.5
75.369,76.007,77.204,18.2
72.30555556,74.73,71.345,18.4
71.398,70.376,66.323,14.4
65.883,69.049,64.021,18.4
62.059,63.655,52.27111111,18.4
72.208,69.759,70.742,15.9
68.53,71.68,67.13,18.3
68.163,67.087,61.01,19.5
62.794,62.701,61.355,12.1
63.971,67.24,58.969,18.3
70.86375,65.77625,48.8825,16
70.88,70.005,67.968,20
71.619,76.584,70.044,17.8
75.882,73.955,71.549,19.6
72.132,74.027,67.958,25.8
73.309,69.349,67.333,15.7
71.911,70.884,70.7,22.7
73.20111111,71.37,62.58111111,25.1
72.721,69.717,68.893,21.1
73.237,66.274,63.668,16.4
74.411,73.948,71.321,19.1
75.81777778,68.37,57.71888889,16.7
74.632,73.37,70.71,23.8
70.663,67.231,67.892,20.1
71.543,72.271,68.365,19.4
71.324,71.031,64.022,23.6
70.883,66.647,63.022,13.3
68.79111111,67.46777778,64.152,16.1
68.089,67.588,63.387,15.4
56.178,59.993,55.711,17.6
75.295,71.834,68.635,15.8
57.19,62.76777778,54.21777778,15.2
69.044,65.389,66.376,14.3
64.264,66.289,65.935,17.6
61.69,59.905,58.087,16.5
75.48888889,69.38,63.48888889,17.3
75.148,67.739,67.969,15.8
68.6575,64.32125,59.92777778,20.7
75.513,72.347,71.322,20.4
63.897,65.439,67.409,16.4
62.646,61.603,61.344,16.7
69.704,69.342,66.312,14.6
65.955,62.752,60.345,19
74.338,73.45,69.333,18.4
66.249,62.898,64.667,15.3
60.21333333,61.62333333,55.21888889,20
72.648,66.046,66.01,14.1
67.499,67.46,62.289,15.2
70.81,73.591,69.763,19.6
68.05555556,70.01777778,63.09444444,16.9
66.617,71.767,66.333,16.1
72.572,61.741,65.925,12.7
67.794,68.971,66.699,16.4
78.016,75.852,76.268,18.7
57.646,60.573,57.764,18
75.957,72.623,69.365,14.6
64.853,63.871,64.311,15.9
78.897,71.611,72.915,13.3
72.427,69.56,55.97444444,20.4
72.646,69.639,61.05222222,20
71.322,69.787,71.623,23.6
70.22,66.869,68.28,14.1
75.073,70.741,69.29,16.2
74.044,71.892,70.376,18.3
68.307,67.093,66.903,19
71.692,72.276,71.249,14.4
69.412,69.566,72.033,17.5
69.779,70.667,70.635,15.2
68.823,65.369,64.828,14.9
71.471,71.54,69.312,18.9
55.808,51.004,55.098,15.1
74.78,69.497,70.679,19.4
76.031,75.625,74.011,18.3
58.66,66.939,62.367,17.1
72.46666667,71.00444444,57.91,20.2
68.532,74.254,71.903,13.9
67.32111111,64.09888889,66.001,21.1
67.135,67.233,66.656,17.8
57.27111111,58.85888889,51.65,19.4
66.398,68.619,69.3,15.2
69.69222222,69.81555556,60.10888889,14.4
70.001,70,67.665,16.5
67.206,68.185,65.622,29.5
68.603,70.142,64.13,19.7
66.252,61.826,58.666,16.1
66.69,66.129,65.053,10.9
72.502,69.873,68.935,17
71.986,68.475,64.98,16.9
65.221,69.358,66.968,19.6
62.647,65.968,62.053,19.3
