Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
71.324,71.978,67.366,8.5
70.441,72.778,68.999,13.7
74.78,71.396,68.009,8.7
70.955,74.175,70.678,7.7
79.045,71.546,71.871,10.7
70.002,74.678,66.42,14.1
69.44333333,70.18777778,59.73666667,12.6
74.705,70.577,70.032,11.1
71.252,70.299,65.655,14.1
71.836,69.857,70,12.7
70.44,71.467,70.913,12
72.718,73.157,69.966,14.7
73.896,78.935,76.559,11.7
75.148,73.515,73.968,10.6
76.692,74.837,70.99,15.1
67.941,67.165,68.956,10.7
69.336,69.206,63.968,8.2
66.986,77.461,73.311,12.5
76.39,74.79444444,64.40777778,15.9
69.558,70.742,68.957,11.1
78.309,72.482,71.979,12.5
77.5,70.518,69.604,11
68.382,68.604,62.366,12.4
79.34,74.828,74.871,11.2
70.809,73.795,70.614,13.4
69.487,71.325,64.999,12.3
71.984,74.839,70.581,13.1
72.279,71.673,67.119,11.2
69.558,73.141,67.29,13.4
72.867,73.587,65.72,14.2
67.573,68.693,69.958,11.4
72.205,73.586,70.3,10.1
65.662,68.402,69.548,9.5
74.044,71.044,65.033,12.8
66.91,68.48,64.882,8.9
75.882,71.317,69.29,10.5
75.296,75.497,74.204,11.2
77.205,74.543,72.936,13.5
72.721,72.264,71.354,10
66.984,75.784,69.397,12.6
72.059,75.94222222,71.592,13.5
72.426,71.544,65.323,11.7
72.22222222,75.645,69.677,13.6
73.309,76.738,74.569,11.6
75.368,74.538,74.193,13.3
70.956,76.225,74.581,13.1
67.72,69.135,69.893,10
65.809,68.616,68.957,13.6
74.044,73.732,69.247,10.2
69.558,72.198,63.344,11
69.852,71.09,68.978,9.1
73.307,75.931,69.634,11.6
70.883,73.876,71.648,11.8
72.869,71.984,66.312,8
75.222,72.126,70.582,13.4
71.983,68.397,64.623,9.4
75.147,69.637,67.645,9.2
61.031,65.69,61.409,9.5
73.97,73.444,73.032,12.5
71.545,71.103,66.602,11.1
75.147,72.271,67.968,11.4
73.382,73.801,70.636,13.2
66.838,70.295,67.733,11.5
68.382,69.133,65.28,10.7
64.853,61.752,59.023,9.7
69.339,70.294,66.096,11.8
72.55,67.33888889,60.13222222,10.8
74.485,73.225,68.956,13.1
75.441,72.129,70.559,10.5
65.662,66.864,61.978,10.5
72.133,71.1,70.913,13.4
72.645,71.026,73.248,7.9
68.899,72.648,70.977,10.8
73.53,71.265,69.27,8.3
78.677,72.78,75.538,9.3
70.514,78.053,72.356,11.1
77.427,71.687,69.913,11.4
74.631,75.703,73.258,8.9
70.293,70.204,68.763,10.2
73.454,77.322,73.893,12.6
66.986,73.375,70.947,13.8
68.383,73.961,67.323,10.7
72.353,71.395,71.946,9.9
73.748,74.325,69.613,11
76.178,71.898,69.689,10.6
70.58777778,71.401,66.935,12.6
68.16,75.194,67.71,7.6
67.281,68.037,67.623,9.8
71.03,71.322,72.043,11.4
68.13666667,74.406,70.67,11.7
71.323,75.278,71.267,12
73.014,71.254,72.87,10.5
70.735,69.639,67.302,9.5
70.736,72.2,68.043,11.2
72.426,73.884,74.624,15.2
69.779,70.003,66.784,9.3
75.57222222,75.927,65.15,14.1
69.631,69.864,66.247,11.2
76.913,74.827,73.926,13.1
76.472,74.468,74.248,10.6
