Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
69.265,66.27,65.387,14.2
67.059,60.94,57.032,24.7
58.53,56.482,54.117,26.2
75.001,64.22,63.398,36
67.719,63.124,63.076,23.2
67.355,64.225,60.687,27.6
70.073,70.819,70.644,17.5
51.911,55.616,53.773,21.9
66.838,70.286,66.398,26
78.53,72.711,72.269,18.9
71.248,67.74,66.741,25.2
67.426,67.815,69.914,22.2
76.618,66.265,63.108,28.8
74.487,68.885,66.453,21.6
63.603,68.609,60.817,21.4
67.206,62.766,58.431,18.8
73.454,69.933,67.958,21.7
70.662,63.788,64.646,28.1
77.723,62.405,64.311,19.2
73.678,64.949,65.044,18.9
68.31,68.022,70,19.7
76.544,70.445,68.333,21.3
71.986,68.035,68.077,29.1
65.807,63.854,60.033,25.2
71.47,78.34,74.342,28.1
67.645,61.824,57.033,20.4
71.472,65.456,61.184,33
69.853,66.132,63.365,28.2
71.248,77.76,72.977,25.4
59.63,58.511,55.795,22
70.883,64.817,66.957,17.6
65.293,55.511,54.473,32.7
66.398,62.306,64.055,17.3
71.471,65.161,60.849,27
73.087,64.012,65.312,28.7
71.471,62.542,63.667,24.1
73.238,65.969,62.74,26.9
79.852,72.269,70.601,33.5
67.501,63.65,64.052,18.7
63.383,61.817,59.741,30.2
67.282,61.224,64.01,31.4
69.044,64.944,60.074,33
68.017,65.678,67.011,24.6
64.928,57.692,58.785,22.9
59.193,54.205,55.076,16.5
61.836,56.332,56.345,17.7
71.765,61.295,60.699,19.6
72.869,67.238,66.281,20.3
70.83444444,64.65,56.66777778,27.1
70.734,69.488,70.688,22.2
70.368,66.855,66.344,25.6
69.558,70.006,67.064,23.5
67.282,64.82,61.731,21.3
64.632,64.876,66.355,18.5
64.117,62.332,63.678,22.5
72.13888889,69.67666667,62.85444444,21.7
62.793,64.585,63.109,19.4
60,56.091,57.151,28.8
70.367,66.259,63.397,32.8
70.88,70.496,68.795,23.2
67.282,67.884,67.268,25.7
76.986,68.674,69.011,19.5
64.34,64.016,63.398,24
60.223,57.142,58.085,18.4
77.206,69.634,73.012,29.5
68.382,63.062,61.107,33
59.338,58.378,54.785,25.5
74.488,70.583,72.883,19.5
63.456,64.375,60.786,21.2
71.25,66.627,66.161,27.4
54.193,55.766,49.021,24.3
61.324,56.908,59.732,20.3
56.767,56.759,54.517,20.8
70.662,64.459,65.687,25.9
60.368,55.537,56.397,23.3
61.615,64.712,64.473,28.7
71.912,67.741,68.291,28.5
72.428,72.988,69.774,23
51.544,43.486,42.785,24.7
68.971,63.122,62.354,19.6
60.515,64.006,62.408,22
79.558,71.317,71.332,19.9
76.029,64.599,65.044,35.8
59.044,61.262,55.699,25
71.619,70.595,68.301,26.5
72.866,71.53,71.624,21.7
77.867,70.006,71.571,26.9
75.293,64.939,67.978,27.3
75.222,70.958,70.624,21.6
72.205,68.542,67.333,26.8
75.146,67.948,70.238,23.3
62.866,60.141,62.322,23.5
60.734,55.324,59.644,17.5
67.795,58.671,60.665,20.1
68.529,62.01,61.453,19.4
64.705,59.034,59.73,25.2
70.291,63.855,60.419,20.8
75.515,68.022,67.033,23
70.736,65.98,68.623,23.6
67.648,71.753,67.44,25.5
