Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
71.323,69.704,67.709,15.9
58.161,58.31,58.041,15.9
73.28222222,69.42888889,61.86333333,14.6
71.103,69.259,71.688,17.2
74.117,71.302,67.754,23
64.927,67.145,62.108,15
70.515,72.122,69.301,15.3
70.735,74.825,74.29,15.2
76.251,72.125,68.01,19.4
69.485,74.533,72.678,18.5
71.618,71.538,67.979,23.1
58.752,52.612,53.355,12.3
71.81444444,67.292,65.386,20.9
72.793,68.024,69.68,15.7
64.264,68.839,64.033,17.5
71.838,73.587,68.623,21.4
76.838,68.832,70.334,15.5
74.781,69.349,67.979,14.1
66.985,69.204,68.334,13.5
66.911,69.268,64.807,22.6
68.674,69.046,68.375,21
65.809,66.426,60.386,17.4
69.706,68.469,70.613,22.2
71.96625,74.575,66.27222222,23.3
73.234,68.977,60.58444444,17.5
72.059,66.196,67.98,15.6
56.102,58.104,53.753,16.9
74.265,71.91,70.27,18.1
67.5,65.252,65.365,15
70,66.714,66.246,16
70.735,72.412,67.01,21
68.823,69.642,68.645,13
69.925,67.447,63.687,15.8
68.604,65.609,64.678,22.8
70.439,69.549,68.397,22.3
63.088,64.668,59.323,15.6
73.896,66.862,67.216,17.6
57.51555556,55.14222222,51.81666667,15.5
69.338,74.683,69.322,19.6
71.837,67.814,67.625,17.2
61.911,59.548,58.786,15.8
72.793,73.809,69.689,19.7
64.047,63.146,62.27,17
66.029,66.407,65.388,17.1
58.969,57.166,54.269,12.9
66.764,67.029,60.657,20.7
70.882,71.618,71.247,16.9
69.485,71.095,65.72,15.1
71.469,68.84,69.657,18.1
78.457,68.032,72.214,20.4
73.898,74.759,71.345,17.5
66.692,66.353,66.677,18
73.163,70.067,71.236,16.6
70.589,66.495,65.375,13.2
74.631,70.517,68.635,17.8
80.001,70.221,69.603,17.8
73.09,72.126,70.945,21.4
79.338,71.037,71.248,19.3
68.382,64.08,64.634,20.2
75.514,75.493,78.504,17.1
69.266,64.96,63.678,14
74.999,71.77,70.614,16.8
70.81,66.789,65.011,26.9
73.603,72.128,69.642,18.5
80,73.508,74.593,20.2
67.40222222,69.67777778,59.21111111,20.7
68.455,70.667,66.687,20
73.235,68.829,67.29,20.4
71.471,65.902,66.335,16.2
66.691,63.849,66.311,14.9
69.78,70.956,64.72,21.1
69.928,67.887,66.603,18.3
68.676,73.954,73.302,20.1
67.354,66.258,60.419,21.1
72.354,72.193,66.085,18.1
63.676,61.894,59.021,18.2
70.956,72.55,71.333,18.4
65.68555556,70.296,60.81222222,15.5
71.912,72.704,69.656,18.5
65.222,66.779,68.602,15.1
67.574,62.991,64.334,12.9
74.045,69.411,71.291,20.3
74.853,70.368,69.613,17.3
64.706,65.266,63.269,19.1
68.528,71.323,73.216,18.6
67.719,68.267,65.312,18.1
71.764,74.687,73.613,16.1
75.591,66.569,68.925,15.2
64.339,62.267,59.096,15.2
63.64333333,64.31,59.074,20.9
71.81333333,69.129,68.679,19.2
68.677,68.182,66.968,15.5
66.74888889,71.179,58.87777778,23.7
64.852,66.424,63.926,20.7
72.793,66.568,70.258,15.5
77.12444444,73.18777778,66.46333333,17.2
65.661,62.128,60.916,17.9
73.602,67.817,69.238,20.3
75.00111111,71.454,69.343,12.5
70.001,67.75,64.944,21
