Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
75.294,70.593,66.042,26.1
72.571,66.495,68.355,17.5
64.487,60.569,63.678,28.3
63.454,57.802,58.086,25.3
76.103,70.437,70.603,24.2
71.396,65.532,66.752,23.7
67.354,65.828,63.774,24.1
70.075,64.017,61.388,25.1
67.131,66.721,64.936,21.7
71.689,65.761,60.419,23.6
70.441,67.799,65.397,27.9
64.928,63.762,67.064,22
67.501,67.088,63.71,24.7
52.941,50.331,42.216,20.9
72.794,68.689,70.634,25.2
65.073,63.878,59.999,23.5
71.103,65.315,67.645,25
58.75,58.816,54.796,21.5
61.838,57.223,61.377,25.5
69.632,61.96,60.322,27.3
66.102,59.922,52.08,24.3
74.411,70.084,65.011,22.5
67.574,61.743,58.365,25.1
64.705,65.375,62.128,24.2
67.279,59.042,59.343,23.1
73.014,70.296,69.967,26.3
66.176,57.852,56.818,28.6
63.454,65.461,62.742,21.9
75.367,67.145,66.398,22.5
74.34,64.90111111,65.677,23.2
55.515,54.058,57.807,24.9
63.236,62.183,63.398,17.8
74.927,69.78,70.914,18.1
70.807,68.384,68.999,21.5
69.265,67.212,67.366,29.2
68.09,60.993,63.43,25.9
68.015,63.05,63.689,27.3
61.616,55.31,52.44,23.2
68.825,63.71,65.021,22.7
73.972,64.576,65.151,29.6
69.631,62.462,66.967,23.9
70.735,64.587,67.043,26.6
76.691,71.31,68.73,18.5
73.088,66.278,67.635,31
72.132,67.805,68.022,26.8
72.721,69.22833333,55.89,24.6
67.869,64.665,65.689,20.7
68.385,68.25,66.033,18
69.485,62.758,60.752,22.4
67.721,67.23,65.053,25.1
73.75,65.316,65.01,23
55.71777778,53.935,54.999,23
69.411,60.995,61.44,21
75.294,68.906,68.268,29.1
68.75,61.59,69.903,16.8
62.941,58.018,59.387,28.9
69.411,68.768,67.635,15.9
68.676,66.48,68.323,25.6
68.749,65.249,62.063,23.7
70.148,67.445,66.646,30.3
76.248,65.1,70.893,21.5
57.867,52.249,51.7,26.7
74.706,69.2,65.367,23.2
65.955,59.984,61.365,23.2
67.058,63.132,61.108,21.9
72.206,65.754,65.99,26.4
67.5,64.292,67.087,18.4
65.515,58.729,58.774,23.3
66.472,66.994,65.453,21.4
59.487,55.248,54.032,21.3
56.693,55.241,58.055,23.4
70.955,59.905,66.001,20
54.851,58.518,58.472,21.8
66.544,61.845,54.49111111,16.1
69.68666667,60.23777778,60.453,26.1
74.778,67.369,64.388,25
74.19,71.253,69.945,20.7
76.692,68.017,69.635,26.6
69.338,64.597,62.763,26.3
57.279,56.708,55.708,25.2
67.723,61.32,61.626,23.6
64.632,56.335,58.054,24.8
76.766,69.2,71.279,23.5
71.397,64.749,64.267,21.7
56.471,49.04,49.7,28.8
73.161,70.444,69.301,24.2
67.647,61.365,62.398,17.5
66.177,65.751,64.077,26.6
69.485,65.175,64.087,23
76.692,71.243,71.581,22.9
62.056,57.279,54.753,20.1
66.839,65.323,65.688,19.8
64.926,65.992,62.365,26.4
50.295,51.097,47.366,29.8
70.83444444,62.38333333,56.26111111,18.1
60.001,57.284,56.752,25.9
61.93,57.90555556,54.697,22.7
75.368,69.933,70.204,24.8
67.939,63.268,61.732,18.9
75.956,69.413,69,26.3
