Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
69.36333333,69.82333333,54.94555556,9.1
72.354,69.77,69.622,10.5
70.735,72.421,71.958,10.7
73.677,73.953,74.593,12.8
69.264,76.146,71.321,10.7
63.382,66.114,61.064,13
69.558,71.173,67.01,10.6
66.25,65.85,65.861,11.9
74.339,70.437,73.57,10.1
63.383,59.179,61.032,8.8
65,68.026,64.461,9.3
72.352,77.027,75.562,12.9
74.927,74.178,70.968,10.1
67.427,67.822,67.591,10.5
74.781,73.815,72.292,9.5
72.206,68.324,67.001,10.8
72.794,69.422,72.871,8.9
67.943,70.964,70.903,12.7
59.044,54.033,51.646,9.2
75.368,74.243,71.892,11.8
72.576,73.734,72.903,10.1
69.338,67.004,67.967,11
61.985,65.262,66.613,12.2
70,71.481,64.636,10.9
70.22,75.71,71.365,13.3
67.426,68.373,65.108,10.2
70.072,64.375,66.292,11.1
67.72,70.944,67.066,8.4
74.928,70.228,69.27,11.4
76.029,74.254,70.623,8.5
65.294,65.051,65.572,10.5
64.779,65.323,58.356,10
69.852,62.921,66.569,11.6
66.912,75.781,67.376,12.2
67.502,66.948,62.645,11.2
73.898,69.194,66.645,11.7
66.72875,71.07555556,57.45555556,12.2
69.56,70.15,69.667,8.1
71.912,73.298,70.687,11.6
71.838,71.093,72.646,8.5
72.353,73.228,72.935,11.3
73.236,70.298,72.58,12
69.263,66.053,69.935,10.3
69.266,72.498,69.334,11.1
68.749,70.518,65.247,11.6
72.793,71.614,70.268,10.8
76.692,70.733,71.624,8.3
71.616,78.856,73.311,10
75.588,72.421,69.979,12.2
68.751,76.735,70.322,10.5
72.058,77.168,73.623,12.5
68.088,70.521,65.978,13.9
70.219,69.851,70.988,9.3
74.927,73.292,73.601,12.1
67.499,70.885,68.29,16.4
65.662,68.193,64.979,11.5
72.133,70.068,68.302,10.7
69.411,71.245,70.322,9.9
75.589,76.154,72.526,10.8
65.075,67.071,66.709,10.6
72.499,72.568,72.279,12.3
76.029,76.657,69.99,13.3
68.161,70.071,66.044,9.5
73.823,74.384,72.967,9.3
75.81777778,73.224,72.936,11.9
74.484,73.369,69.356,10.3
75.957,71.838,73.84,10.2
62.059,64.595,60.106,12.1
71.252,72.4,67.085,12.1
63.751,69.935,65.355,12.6
73.605,74.544,71.205,10.1
64.854,65.973,65.708,12.7
71.986,69.866,67.979,12.1
68.603,71.611,67.023,12.6
71.546,76.731,73.289,10.3
71.984,75.433,71.302,11.9
71.029,73.223,71.989,10.5
67.354,78.711,68.7,10.5
72.06,69.493,70.945,12.5
74.926,73.661,73.603,10.3
68.087,72.182,67.753,10.7
67.352,69.867,64.29,9.2
72.5,78.198,70.979,11.8
61.35666667,65.79444444,59.107,11.1
69.557,74.248,65.592,15.3
71.176,78.199,75.925,7.5
69.557,70.232,68.613,10.5
72.353,75.121,72.291,11.4
73.749,70.139,67.645,13.5
73.603,74.17,73.603,10.4
69.633,74.236,67.10777778,12.7
70.442,74.542,73.602,9.1
68.308,74.398,68.666,12.8
68.087,71.311,67.677,10
71.617,75.567,71.311,11.1
72.944,73.375,72.258,10.5
74.121,74.46,71.355,10.2
66.838,68.613,67.022,10.9
66.397,70,64.086,13.6
68.383,73.062,64.43,12.2
