Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
68.383,62.17,64.978,7.7
70.147,68.088,67.646,10.1
62.573,61.661,59.719,9.3
71.913,69.782,66.686,10.9
62.279,62.706,64.687,10
67.059,68.398,68.58,8.7
58.821,61.487,58.945,7.5
69.411,69.136,63.43,12.6
60.442,63.251,61.741,8.6
63.528,69.784,66.999,9.4
69.853,70.743,69.29,14.7
67.132,70.805,67.301,11
73.16,74.972,70.71,11.2
71.395,71.396,69.28,9.1
73.971,74.609,68.322,10.9
69.781,66.493,65.72,7.7
62.82777778,68.04888889,57.04888889,10.4
70.073,72.338,71.355,13.5
71.81222222,73.73888889,72.16333333,13.7
69.853,73.148,67.688,12.8
71.692,66.923,64.097,8.3
71.838,67.889,66.237,11.4
71.984,67.659,65.345,11.7
63.751,63.705,61.086,11.9
67.942,68.258,65.043,11.3
63.6,57.133,55.161,7.5
67.426,66.777,65.71,8.9
69.337,69.852,67.301,10.3
69.633,68.172,66.979,10.5
68.896,66.877,64.279,9.6
67.723,68.911,67.71,7
75.957,73.508,72.968,10.1
66.689,71.91,66.678,9.4
73.529,68.402,66.602,9.6
67.574,69.645,65.602,13.7
71.912,65.609,61.773,10.3
72.943,66.05,65.655,8.6
70.221,74.324,68.012,11.6
76.325,70.672,69.614,8.4
68.381,73.142,71.02,13.5
70.293,73.365,72.001,13.8
67.427,67.43,63.108,10.5
71.177,68.106,69.614,8.2
68.971,64.818,60.346,11.1
72.204,69.631,70.408,12.2
72.14111111,67.091,68.871,8.6
65.073,64.096,64.559,7.3
75.072,76.066,74.311,8.4
62.061,66.996,64.441,9.8
68.016,71.332,72.269,9.2
67.573,63.079,60.913,8.7
59.413,60.485,60.106,8.1
66.911,71.905,70.354,11.3
67.942,66.199,63.677,12.3
75.884,73.373,70.645,9.6
71.25,77.83,74.313,14
67.133,72.564,70.269,10.2
76.029,65.472,67.925,8.5
70.15,73.743,71.603,10.3
71.545,73.077,70.356,10.3
66.396,66.482,68.333,9.8
72.058,69.779,67.699,10
69.998,72.635,68.708,10.8
71.324,70.882,71.668,11.2
74.63,76.138,72.344,10.5
69.044,72.87,69.946,8.9
72.573,72.553,71.01,9.5
73.751,74.474,70.279,10
72.204,74.912,69.903,9.4
67.133,64.739,66.634,10.5
74.264,71.601,73.302,9.3
72.648,75.568,72.956,12.8
71.986,66.579,68.236,8.8
68.823,71.243,69.634,13
73.529,71.841,69.645,9.3
70.075,71.696,66.957,9.5
68.382,70.879,66.408,12.3
70.514,71.032,65.356,11.9
62.06,66.649,61.022,8.8
73.31,76.811,74.636,9
71.324,71.694,69.948,11.8
50.808,55.202,50.355,9.3
69.337,65.377,65.796,9.3
67.353,68.905,68.334,9.2
72.794,71.322,70.645,11.3
69.632,70.299,65.688,12
64.412,68.553,61.386,9.1
75.513,73.511,73.948,12.8
71.176,73.221,69.356,13.1
67.867,69.858,69.979,11.3
73.087,74.032,73.27,11.4
70.219,69.929,66.677,14.2
67.205,61.75,64.291,9.5
72.79444444,69.704,70.268,11.8
70.44,76.581,69.687,13.1
70.146,70.378,68.302,12.1
75.735,74.468,74.917,13.2
72.208,70.14,68.086,7.1
69.44444444,69.29777778,59.09222222,9.9
68.38111111,70.75777778,68.625,10.5
