Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
70.22,70.586,69.292,9.9
69.927,73.873,67.108,7.7
68.825,73.226,74.592,11.7
74.853,71.912,70.967,11.6
69.852,70.879,66.699,10.7
66.764,70.147,66.055,12
63.016,65.849,59.096,11.1
59.853,62.135,60.323,9.7
76.398,69.79,69.303,8.7
64.852,60.591,62.902,9.2
75.958,70.36,73.893,8
71.691,74.471,69.377,11.9
69.045,73.154,65.646,11.9
71.765,71.241,67.785,11.7
72.939,69.929,69.331,10.1
70.147,67.743,65.364,10.3
68.456,69.496,65.129,10.1
72.428,68.466,66.312,10.6
69.60777778,70.96,72,8.9
67.5,67.862,64.409,9.8
64.411,71.556,67.001,13.4
72.939,70.146,72.246,10.4
57.428,55.295,54.398,7.3
73.455,73.511,73.903,11.1
74.337,68.613,71.517,10.7
75.223,76.447,73.593,9.1
74.338,74.039,67.644,12.1
76.175,72.269,72.903,8.1
73.309,71.032,70.613,11.1
69.704,75.42,73.269,11.5
73.603,68.612,73.903,9.5
74.264,71.329,68.366,10.1
65.736,71.025,67.721,11.2
63.897,69.29,57.087,11.5
61.765,63.493,64,10.6
68.162,72.276,71.29,8.8
72.059,73.086,67.967,13
71.62,70.737,72.28,9.9
74.705,72.568,72.924,9.5
70.59,71.746,68.064,12.4
69.634,72.935,70.031,12
67.281,74.897,72.075,12.5
69.78,70.675,65.613,11.6
74.779,73.884,71.947,15.1
68.823,68.476,68.516,10.2
69.779,70.596,67.752,9.4
70.661,70.888,67.969,11.2
67.574,67.671,64.043,11.7
74.044,68.175,69.334,10.3
75.809,71.318,74.302,12.4
62.206,62.547,62.731,10.6
71.693,67.728,65.02,8.1
71.838,73.295,66.709,11.8
64.633,66.208,66.292,11.8
67.869,68.54,64.085,10.5
72.206,69.498,72.267,11.1
71.322,73.722,72.667,8.5
74.411,72.86,70.547,8.8
58.824,64.544,62.291,5.9
67.794,74.616,68.699,12.2
61.177,65.777,67.324,9.7
70.514,71.476,68.892,9.1
62.866,61.668,56.118,8.8
69.779,78.551,71.666,11.5
67.72,69.761,68.786,9.5
63.383,62.341,61.011,10.6
67.059,66.713,64.311,10.7
65.075,67.746,62.989,11.7
75.368,76.594,75.903,7.1
57.5,63.441,60.71,6.7
75.001,73.154,72.247,9.5
71.47,71.97,74.291,10.8
66.544,67.237,66.634,9.3
69.633,65.248,66.741,11.2
68.015,73.587,68.01,11
67.134,71.526,69.958,9.5
74.781,71.762,70.989,8.8
73.382,69.639,67.019,8.7
75.148,70.668,71.226,9.2
62.721,67.749,62.301,10.3
66.028,68.39,61.099,10.4
70.588,67.73,67.301,11.7
74.265,71.914,72.548,10.8
70.221,70.221,66.968,10.6
73.53,70.522,71.925,11.8
68.824,68.842,65.624,8.2
72.72,75.114,69.366,9.8
70.22,69.344,66.333,10.2
69.267,68.377,66.667,9.6
64.044,61.243,59.28,7.8
75.442,72.779,72.558,11.5
70.736,68.901,66.344,9.3
73.603,72.489,70.656,12.1
72.351,71.615,69.937,8.9
69.265,73.733,70.979,10.5
75.076,72.858,70.011,7.8
76.25,73.004,75.226,10.5
70.147,69.787,65.322,11.4
78.53,73.957,69.333,8.6
71.69,70.516,71.914,10.8
