Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
71.689,71.965,71.032,22.5
75.148,65.907,65.699,25.7
72.426,63.275,64.419,26.5
59.411,54.607,54.023,23.2
60.809,57.791,59.754,22.5
74.78,68.384,68.291,24.9
57.866,57.362,56.398,22.6
61.91,57.218,52.741,19.5
65.15,66.795,63.334,25.7
77.648,67.143,70.646,24.6
71.838,64.082,61.709,16
73.825,68.982,69.311,22.3
64.559,52.086,52.067,25.2
63.455,63.718,64.02,21.9
70.735,64.439,60.15,22.5
67.648,65.618,65.409,21.9
57.427,54.59,55.096,29.6
73.899,69.201,68.625,24.7
63.896,58.087,58.042,23.5
59.267,62.705,58.988,19.4
59.634,56.71,57.709,24.5
54.557,46.246,46.785,32.1
63.75,62.695,58.731,30.7
64.561,61.371,60.43,24
74.855,62.322,64.335,24.8
64.559,68.035,66.643,24.9
69.56,66.699,67.043,24.7
70.071,69.10333333,61.45666667,22.7
53.677,57.43,56.021,23.2
67.646,63.335,60.849,22.2
63.75,52.314,57.613,29.3
72.72,67.745,68.881,17.6
70.734,69.123,65.398,18.8
70.588,66.926,65.41,25.4
60.295,56.619,57.098,13.2
76.986,69.13,67.677,25.6
75.22,67.513,69.344,26.9
69.28111111,65.44111111,55.22222222,30.3
68.017,62.321,62.388,20.5
73.896,67.162,69.883,18.2
74.634,69.48,64.192,25.2
73.969,64.159,64,22.1
69.119,67.24,68.581,24
61.396,58.596,57.418,18.9
74.484,70.294,68.324,24.8
71.029,65.18,68.259,30.5
71.321,67.732,66.366,20.7
69.2,64.15666667,62.84,23.1
67.646,64.656,64.097,30.6
74.708,73.655,73.624,22.5
66.175,65.302,63.829,22.2
72.574,66.489,68.333,24.1
77.795,64.798,68.978,19.7
60.956,57.073,55.721,18.9
73.235,69.793,67.999,30.9
58.308,53.046,50.075,27.3
70.59,69.262,69.355,28.9
64.925,64.588,60.73,16.3
73.161,67.306,68.602,28.3
70.881,65.029,64.354,19.4
79.043,70.435,70.636,22.9
72.722,65.917,66.647,20.4
65.809,60.802,64.249,23.3
70.442,65.254,62.097,21.8
71.913,64.739,62.698,24.1
71.394,70.435,69.041,23.1
65.956,59.822,61.095,17
66.692,66.565,63.419,20.8
60,58.547,61.246,18.5
72.646,70.376,68.98,22.6
67.206,63.623,64.462,21.3
75.442,66.578,65.978,28.4
72.06,62.752,65,19.1
69.85333333,70.862,72.053,27.5
65.59,63.044,58.451,29.5
60.586,63.994,68,23.6
70.297,61.734,61.354,16.3
73.088,67.938,67.764,24.9
75.368,75.2,71.635,23
61.94875,62.11555556,57.751,21.5
62.794,59.109,61.935,25
64.707,64.222,61.698,25
71.176,64.958,67.957,25.9
59.852,61.219,62.71,23.6
61.546,59.95444444,59.701,20.3
71.618,72.629,72.989,23.7
69.781,68.983,72.228,19.3
58.458,59.469,58.151,23.8
57.499,59.692,55.087,18.3
58.234,57.644,56.473,20.2
53.31,56.408,52.42,21.9
64.635,63.296,60.076,23.7
78.09,71.546,72.645,25.3
66.763,62.095,59.161,24.4
77.208,67.225,70.268,21.1
68.677,65.535,62.107,30.2
77.132,65.911,67.645,23.3
71.322,65.982,64.01,27.7
56.398,53.639,55.968,21.4
57.059,54.508,53.71,21.4
