Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
66.25777778,64.958,54.88666667,18.3
75.883,73.22,72.902,18.8
74.337,67.738,69.624,17.6
72.941,71.613,69.977,16.2
65.294,63.049,60.721,16
62.205,62.986,62.365,17.2
73.09,65.189,68.549,14.6
68.678,67.293,65.711,15.4
75.074,70.38,71.528,16.8
72.796,72.858,67.612,22.4
71.397,70.805,70.27,15.9
69.559,71.974,72.29,16.5
72.795,75.324,71.108,16
71.839,65.997,66.947,16.5
67.649,66.412,68.967,20.2
73.014,72.867,68.989,22.2
76.545,73.442,69.613,21.3
74.708,76.876,74.603,20.5
73.161,69.131,65.247,16.8
69.03666667,74.38111111,72.29,16.6
71.838,70.731,62.19666667,17.9
67.059,71.168,64.376,18.1
73.897,69.272,72.28,15.5
73.161,67.947,67.688,15.1
77.574,70.364,70.344,16.6
66.767,73.43333333,70.064,15.5
65.073,66.647,63.688,17.4
79.044,70.814,73.892,14.7
68.676,67.86,66.085,19
65.85111111,67.49111111,63.676,17.9
76.102,75.704,76.28,18.5
78.678,74.168,71.956,15.9
75.147,70.219,68.999,14.5
67.942,71.689,66.688,26.8
73.20222222,75.27333333,71.99,24.4
66.325,74.032,68.656,20.1
72.722,72.42,68.055,12.1
70.883,71.1,65.743,20.7
72.795,69.574,69.978,21.1
66.912,69.424,68.313,20.1
63.088,63.573,57.065,21.7
65.588,64.359,66.301,14.9
67.647,67.079,63.366,16.1
66.029,63.802,62.999,16.8
76.69,74.536,68.387,16.4
59.778,59.618,58.076,18.1
67.89222222,73.574,71.022,14.3
75.074,73.001,69.969,18.2
71.546,66.797,65.916,16.9
76.324,72.929,71.356,18.7
72.059,72.348,69.667,18.9
66.176,72.187,68.41,14.8
67.28,68.679,66.033,15.8
69.633,73.292,70.679,18.5
67.721,62.692,60.742,18.3
72.941,71.19375,67.978,20.1
76.06444444,70.72,62.18666667,15.6
75.37,65.763,67.281,15.7
63.31,63.565,62.096,17.2
63.897,66.707,59.775,16.9
69.191,70.003,68.947,20.4
62.775,62.93375,56.82222222,17.6
75.09,72.91625,66.96666667,15.4
65.76888889,66.927,63.075,14.4
73.382,71.62,69.634,19.1
72.941,76.154,72.334,19.1
72.354,72.854,72.622,17.9
61.43888889,61.68,58.667,19
61.617,66.723,61.054,13.8
67.501,64.745,65.678,21.5
75.588,69.347,65.386,17.3
73.017,69.56,66.978,17.1
70.441,70.375,67.614,15.3
74.852,68.472,70.926,23.8
74.633,71.97,69.344,20.4
77.501,68.911,68.967,19.4
74.118,70.426,69.065,15.9
71.97777778,72.42888889,69.949,16.8
63.677,61.527,60.29,17.9
72.867,69.638,67.689,20.8
69.265,68.315,67.43,18.5
66.74888889,66.17444444,69.033,19.9
59.558,65.623,63.365,14.6
66.911,68.317,67.054,19.6
72.498,71.098,66.344,20.4
65.587,67.017,69.226,15.7
65.514,70.218,62.828,20.7
76.03,72.117,70.645,14.7
69.264,68.547,69.302,17.9
73.308,73.138,70.387,15.3
74.412,69.126,68.699,18.7
69.705,66.057,65.967,17.8
74.705,72.69666667,71.968,21.2
62.792,63.582,61.032,18.9
67.87,70.008,70.634,16
77.133,71.022,71.882,15.8
74.34777778,68.92222222,62.52111111,17.8
69.265,66.788,66.98,17.1
74.83666667,71.768,71.957,19.7
76.767,72.708,70.226,23.7
