Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
72.868,73.602,70.914,17
67.204,69.627,71.332,20.7
63.677,59.852,60.904,13.3
74.192,73.731,70.742,20
67.942,69.791,66.967,22.4
60,61.679,57.29,17.1
57.206,56.878,53.386,18.9
72.14,74.325,70.28,18.9
69.67,70.13111111,60.10666667,20.5
72.721,68.617,64.042,18.9
77.868,71.169,70.301,16.5
64.78666667,64.015,60.41,17.8
73.53,66.716,70.657,13.2
71.178,65.595,62.474,14
66.50444444,67.952,66.076,21.1
71.176,69.869,66.679,20.4
70.219,72.701,71.657,12
71.912,70.371,68.914,19.3
64.486,63.906,63.829,16.9
67.793,67.377,67.01,22.8
71.25,70.24,66.011,17
69.706,62.985,68.289,17.3
72.059,67.296,59.765,20.5
72.13,71.972,67.409,15.2
64.21666667,67.82333333,62.11555556,15.3
69.411,68.909,66.302,19.9
72.941,69.333,71.375,16.6
71.839,73.067,69.032,17.1
69.411,71.751,65.441,19.6
74.191,71.032,70.958,16.6
68.675,67.522,66.053,14
66.178,63.337,58.837,21.9
67.15666667,60.08666667,55.52111111,12.5
74.118,71.693,68.258,26.3
69.705,67.522,69.946,17.4
62.132,63.813,55.022,19.9
69.41,63.422,61.989,16.1
73.087,68.908,62.635,17.1
66.104,70.384,68.881,15.5
68.53,67.087,64.291,20.7
71.47,73.006,67.313,22.9
61.028,68.485,65.967,24
62.795,66.066,60.689,17.3
76.985,73.287,71.634,17.9
76.177,73.22,74.924,14
64.118,61.674,58.979,12.2
71.176,73.447,73.622,20.3
65.735,67.473,60.956,19.8
66.397,68.394,64.688,15.5
70.588,67.358,64.742,14.4
68.898,68.461,70.311,20.1
71.84,68.035,64.313,13.1
63.31,60.353,61.344,13.5
66.617,65.262,62.323,20.7
73.235,73.003,68.365,20.9
72.428,68.156,67.688,17.3
67.133,69.628,68.387,16.9
73.676,68.842,67.602,18.9
73.751,72.13,73.247,19.6
68.62888889,66.056,64.388,19.7
73.604,69.493,68.206,15.5
69.927,68.766,65.387,14.5
75.222,73.002,74.623,19.5
66.396,69.863,63.709,18.4
56.94333333,58.57444444,51.24444444,9.8
68.235,65.111,68.936,16.1
60.588,62.624,60.387,16.7
75.883,72.925,70.979,21.3
71.765,69.203,67.28,19.5
72.058,74.971,69.302,22.3
66.323,68.69,66.011,12.9
75.808,70.868,68.021,19.9
74.191,71.179,68.613,20.9
69.116,66.275,66.623,15.5
63.677,63.519,62.624,15.6
67.058,67.749,61.065,20.3
73.161,71.243,70.333,20.9
64.486,66.426,65.655,15.2
68.821,62.982,61.076,18
72.939,65.39,66.925,17.3
71.544,73.797,70.021,19.7
68.161,63.41,67.313,18.4
71.104,70.81,68.666,17.2
71.323,64.875,65.741,21.8
67.28,68.077,64.484,14.9
67.061,67.878,68.01,16.4
73.237,69.493,67.98,23.9
68.97,63.997,63.366,17.3
74.337,72.132,71.279,15.2
65.734,64.233,64,16.8
72.426,73.523,73.548,21.6
70.01555556,68.96222222,55.50777778,16.3
72.87444444,68.53888889,61.75666667,13.4
74.267,69.699,66,20.2
74.78,74.032,71.967,21
75.294,69.42,67.657,13.3
74.557,71.242,71.604,18.9
73.016,70.141,72.311,15.4
67.499,73.738,68.667,17.9
60.737,65.925,61.054,24.3
